volume,pdf_page,doi,title,category,summary_zh,doi_url,pdf_file
Volume 2,410,10.1145/3779212.3790140,CLM: Removing the GPU Memory Barrier for 3D Gaussian Splatting,GPU 编程、内核、稀疏与图计算,"3D Gaussian Splatting (3DGS) is an increasingly popular novel view synthesis approach due to its fast rendering time, and high-quality output.",https://doi.org/10.1145/3779212.3790140,asplos2026.volume2.3779212.pdf
Volume 2,695,10.1145/3779212.3790157,Efficient Temporal Graph Network Training via Unified Redundancy Elimination,GPU 编程、内核、稀疏与图计算,Temporal Graph Network (TGN) is increasingly adopted to model evolving relationships in dynamic graphs.,https://doi.org/10.1145/3779212.3790157,asplos2026.volume2.3779212.pdf
Volume 2,893,10.1145/3779212.3790167,GS-Scale: Unlocking Large-Scale 3D Gaussian Splatting Training via Host Offloading,GPU 编程、内核、稀疏与图计算,The advent of 3D Gaussian Splatting has revolutionized graphics rendering by delivering high visual quality and fast rendering speeds.,https://doi.org/10.1145/3779212.3790167,asplos2026.volume2.3779212.pdf
Volume 2,1026,10.1145/3779212.3790176,Insum: Sparse GPU Kernels Simplified and Optimized with Indirect Einsums,GPU 编程、内核、稀疏与图计算,"Programming high-performance sparse GPU kernels is notoriously difficult, requiring both substantial effort and deep expertise.",https://doi.org/10.1145/3779212.3790176,asplos2026.volume2.3779212.pdf
Volume 2,1833,10.1145/3779212.3790222,SLAWS: Spatial Locality Analysis and Workload Orchestration for Sparse Matrix Multiplication,GPU 编程、内核、稀疏与图计算,"Sparse matrix-sparse matrix multiplication (SpMSpM) is widely used in modern scientific applications, including highperformance computing, linear algebra, and graph processing.",https://doi.org/10.1145/3779212.3790222,asplos2026.volume2.3779212.pdf
Volume 1,35,10.1145/3760250.3762229,AGS: Accelerating 3D Gaussian Splatting SLAM via CODEC-Assisted Frame Covisibility Detection,LLM/生成式 AI 推理与服务系统,Simultaneous Localization and Mapping (SLAM) is a critical task that enables autonomous vehicles to construct maps and localize themselves in unknown environments.,https://doi.org/10.1145/3760250.3762229,asplos2026.volume1.3760250.pdf
Volume 1,82,10.1145/3760250.3762235,Compositional AI Beyond LLMs: System Implications of Neuro-Symbolic-Probabilistic Architectures,LLM/生成式 AI 推理与服务系统,"Large Language Models (LLMs) have driven remarkable progress in artificial intelligence (AI), but their rapid growth faces challenges of unsustainable computation, limited robustness, and poor explainability.",https://doi.org/10.1145/3760250.3762235,asplos2026.volume1.3760250.pdf
Volume 1,116,10.1145/3760250.3762216,Dynamic Sparsity in Large-Scale Video DiT Training,LLM/生成式 AI 推理与服务系统,Diffusion Transformers (DiTs) have shown remarkable performance in generating high-quality videos.,https://doi.org/10.1145/3760250.3762216,asplos2026.volume1.3760250.pdf
Volume 1,178,10.1145/3760250.3762220,MoDM: Efficient Serving for Image Generation via Mixture-of-Diffusion Models,LLM/生成式 AI 推理与服务系统,"Diffusion-based text-to-image generation models trade latency for quality: small models are fast but generate lower quality images, while large models produce better images but are slow.",https://doi.org/10.1145/3760250.3762220,asplos2026.volume1.3760250.pdf
Volume 1,264,10.1145/3760250.3762217,SuperOffload: Unleashing the Power of Large-Scale LLM Training on Superchips,LLM/生成式 AI 推理与服务系统,The emergence of Superchips represents a significant advancement in next-generation AI hardware.,https://doi.org/10.1145/3760250.3762217,asplos2026.volume1.3760250.pdf
Volume 1,296,10.1145/3760250.3762219,Tilus: A Tile-Level GPGPU Programming Language for Low-Precision Computation,LLM/生成式 AI 推理与服务系统,"Serving Large Language Models (LLMs) is critical for AIpowered applications, yet it demands substantial computational resources, particularly in memory bandwidth and computational throughput.",https://doi.org/10.1145/3760250.3762219,asplos2026.volume1.3760250.pdf
Volume 1,329,10.1145/3760250.3762228,XY-Serve: End-to-End Versatile Production Serving for Dynamic LLM Workloads,LLM/生成式 AI 推理与服务系统,Meeting growing demands for low latency and cost efficiency in production-grade large language model (LLM) serving systems requires integrating advanced optimization techniques.,https://doi.org/10.1145/3760250.3762228,asplos2026.volume1.3760250.pdf
Volume 2,38,10.1145/3779212.3790119,A Cost-Effective Near-Storage Processing Solution for Offline Inference of Long-Context LLMs,LLM/生成式 AI 推理与服务系统,The computational and memory demands of large language models for generative inference present significant challenges for practical deployment.,https://doi.org/10.1145/3779212.3790119,asplos2026.volume2.3779212.pdf
Volume 2,256,10.1145/3779212.3790131,BAT: Efficient Generative Recommender Serving with Bipartite Attention,LLM/生成式 AI 推理与服务系统,Generative Recommenders (GRs) have recently emerged as promising alternatives to traditional Deep Learning Recommendation Models (DLRMs).,https://doi.org/10.1145/3779212.3790131,asplos2026.volume2.3779212.pdf
Volume 2,288,10.1145/3779212.3790133,BlendServe: Optimizing Offline Inference with Resource-Aware Batching,LLM/生成式 AI 推理与服务系统,"Offline batch inference is gaining popularity as a cost-effective solution for latency-insensitive tasks, such as model evaluation and data curation.",https://doi.org/10.1145/3779212.3790133,asplos2026.volume2.3779212.pdf
Volume 2,323,10.1145/3779212.3790135,Bullet: Boosting GPU Utilization for LLM Serving via Dynamic Spatial-Temporal Orchestration,LLM/生成式 AI 推理与服务系统,Modern large language model (LLM) serving systems confront inefficient GPU utilization due to the fundamental mismatch between compute-intensive prefill phase and memorybound decode phase.,https://doi.org/10.1145/3779212.3790135,asplos2026.volume2.3779212.pdf
Volume 2,340,10.1145/3779212.3790136,"CacheMind: From Miss Rates to Why – Natural-Language, Trace-Grounded Reasoning for Cache Replacement",LLM/生成式 AI 推理与服务系统,"Cache replacement remains a challenging problem in CPU microarchitecture, often addressed using hand-crafted heuristics that limit cache performance.",https://doi.org/10.1145/3779212.3790136,asplos2026.volume2.3779212.pdf
Volume 2,526,10.1145/3779212.3790147,CREATE: Cross-Layer Resilience Characterization and Optimization for Efficient yet Reliable Embodied AI Systems,LLM/生成式 AI 推理与服务系统,Embodied Artificial Intelligence (AI) has recently attracted significant attention as it bridges AI with the physical world.,https://doi.org/10.1145/3779212.3790147,asplos2026.volume2.3779212.pdf
Volume 2,596,10.1145/3779212.3790151,DARTH-PUM: A Hybrid Processing-Using-Memory Architecture,LLM/生成式 AI 推理与服务系统,Analog processing-using-memory (PUM; a.k.a.,https://doi.org/10.1145/3779212.3790151,asplos2026.volume2.3779212.pdf
Volume 2,635,10.1145/3779212.3790153,DFVG: A Heterogeneous Architecture for Speculative Decoding with D raft-on-FPGA and Verify-on-GPU Shaoqiang Lu∗,LLM/生成式 AI 推理与服务系统,Speculative decoding is a promising paradigm that accelerates LLM inference by generating drafts and performing verification.,https://doi.org/10.1145/3779212.3790153,asplos2026.volume2.3779212.pdf
Volume 2,666,10.1145/3779212.3790155,EARTH: An Efficient MoE Accelerator with Entropy-Aware Speculative Prefetch and Pattern Reuse Fangxin Liu∗,LLM/生成式 AI 推理与服务系统,"Mixture-of-Experts (MoE) models significantly reduce computation in large language models by activating only a subset of experts per input token, but they introduce severe memory bottlenecks due to the large...",https://doi.org/10.1145/3779212.3790155,asplos2026.volume2.3779212.pdf
Volume 2,765,10.1145/3779212.3790161,FastTTS: Accelerating Test-Time Scaling for Edge LLM Reasoning,LLM/生成式 AI 推理与服务系统,Recent advances in reasoning Large Language Models (LLMs) are driving the emergence of agentic AI systems.,https://doi.org/10.1145/3779212.3790161,asplos2026.volume2.3779212.pdf
Volume 2,909,10.1145/3779212.3790169,Hardwired-Neuron Language Processing Units as General-Purpose Cognitive Substrates,LLM/生成式 AI 推理与服务系统,"The rapid advancement of Large Language Models (LLMs) has established language as a core general-purpose cognitive substrate, driving the demand for specialized Language Processing Units (LPUs) tailored for...",https://doi.org/10.1145/3779212.3790169,asplos2026.volume2.3779212.pdf
Volume 2,929,10.1145/3779212.3790170,"HEPIC: Private Inference over Homomorphic Encr yption with Client Intervention Kevin Nam Dept. of ECE & ISRC,",LLM/生成式 AI 推理与服务系统,"Homomorphic Encryption (HE) enables Private Inference (PI) in Machine Learning as a Service (MLaaS), protecting both client inputs and server-side neural network (NN) parameters.",https://doi.org/10.1145/3779212.3790170,asplos2026.volume2.3779212.pdf
Volume 2,962,10.1145/3779212.3790172,History Doesn’t Repeat Itself but Rollouts Rhyme: Accelerating Reinforcement Learning with RhymeRL Jingkai He,LLM/生成式 AI 推理与服务系统,"With the rapid advancement of large language models (LLMs), reinforcement learning (RL) has emerged as a pivotal methodology for enhancing the reasoning capabilities of LLMs.",https://doi.org/10.1145/3779212.3790172,asplos2026.volume2.3779212.pdf
Volume 2,1055,10.1145/3779212.3790178,It Takes Two to Entangle,LLM/生成式 AI 推理与服务系统,Distributed machine learning training and inference is common today because today’s large models require more memory and compute than can be provided by a single GPU.,https://doi.org/10.1145/3779212.3790178,asplos2026.volume2.3779212.pdf
Volume 2,1088,10.1145/3779212.3790180,LAER-MoE: Load-Adaptive Expert Re-layout for Efficient Mixture-of-Experts Training,LLM/生成式 AI 推理与服务系统,"Expert parallelism is vital for effectively training Mixtureof-Experts (MoE) models, enabling different devices to host distinct experts, with each device processing different input data.",https://doi.org/10.1145/3779212.3790180,asplos2026.volume2.3779212.pdf
Volume 2,1106,10.1145/3779212.3790181,LAIKA: Machine Learning-Assisted In-Kernel APU Acceleration,LLM/生成式 AI 推理与服务系统,"The integration of machine learning (ML) into OS kernels is severely hampered by the high latency of offloading to discrete GPUs (dGPUs), where data transfers across the PCIe bus can consume over 93% of the...",https://doi.org/10.1145/3779212.3790181,asplos2026.volume2.3779212.pdf
Volume 2,1146,10.1145/3779212.3790183,LOOPRAG: Enhancing Loop Transformation Optimization with Retrieval-Augmented Large Language Models,LLM/生成式 AI 推理与服务系统,"Loop transformations are semantics-preserving optimization techniques applied at the source level, widely used in compilers to maximize objectives such as vectorization and parallelism.",https://doi.org/10.1145/3779212.3790183,asplos2026.volume2.3779212.pdf
Volume 2,1184,10.1145/3779212.3790185,M2XFP: A Metadata-Augmented Microscaling Data Format for Efficient Low-bit Quantization,LLM/生成式 AI 推理与服务系统,"Existing low-bit Microscaling (MX) formats, such as MXFP4, often suffer from substantial accuracy degradation due to the use of a shared scaling factor with the Power-of-Two format.",https://doi.org/10.1145/3779212.3790185,asplos2026.volume2.3779212.pdf
Volume 2,1218,10.1145/3779212.3790187,MoE-APEX: An Efficient MoE Inference System with Adaptive Precision Expert Offloading,LLM/生成式 AI 推理与服务系统,"Mixture-of-experts (MoE) architectures enable scalable Large Language Models (LLMs) with reduced computational overhead, yet their deployment on memory-constrained edge devices is hindered by substantial mem...",https://doi.org/10.1145/3779212.3790187,asplos2026.volume2.3779212.pdf
Volume 2,1234,10.1145/3779212.3790188,MSCCL++: Rethinking GPU Communication Abstractions for AI Inference,LLM/生成式 AI 推理与服务系统,"AI applications increasingly run on fast-evolving, heterogeneous hardware to maximize performance, but generalpurpose libraries lag in supporting these features.",https://doi.org/10.1145/3779212.3790188,asplos2026.volume2.3779212.pdf
Volume 2,1249,10.1145/3779212.3790189,Mugi: Value Level Parallelism For Efficient LLMs,LLM/生成式 AI 推理与服务系统,"Value level parallelism (VLP) has been proposed to improve the efficiency of large-batch, low-precision general matrix multiply (GEMM) between symmetric activations and weights.",https://doi.org/10.1145/3779212.3790189,asplos2026.volume2.3779212.pdf
Volume 2,1268,10.1145/3779212.3790190,Nebula: Infinite-Scale 3D Gaussian Splatting in VR via Collaborative Rendering and Accelerated Stereo Rasterization,LLM/生成式 AI 推理与服务系统,3D Gaussian splatting (3DGS) has drawn significant attention in the architectural community recently.,https://doi.org/10.1145/3779212.3790190,asplos2026.volume2.3779212.pdf
Volume 2,1334,10.1145/3779212.3790194,oFFN: Outlier and Neuron-aware Structured FFN for Fast yet Accurate LLM Inference,LLM/生成式 AI 推理与服务系统,"With the advent of large-scale language models (LLMs), various optimization techniques have been proposed to enable efficient inference.",https://doi.org/10.1145/3779212.3790194,asplos2026.volume2.3779212.pdf
Volume 2,1382,10.1145/3779212.3790197,Ouroboros: Wafer-Scale SRAM CIM with Token-Grained Pipelining for Large Language Model Inference,LLM/生成式 AI 推理与服务系统,"Large language model (LLM) inference demands vast memory capacity and hierarchical memory structures, but conventional architectures suffer from excessive energy and latency costs due to frequent data moveme...",https://doi.org/10.1145/3779212.3790197,asplos2026.volume2.3779212.pdf
Volume 2,1415,10.1145/3779212.3790199,Parameterized Hardware Design with Latency-Abstract Interfaces,LLM/生成式 AI 推理与服务系统,"Interfaces Rachit Nigam MIT CSAIL Cambridge, USA Ethan Gabizon∗ Cornell University Ithaca, USA Edmund Lam∗ Cornell University Ithaca, USA Carolyn Zech MIT CSAIL Cambridge, USA Jonathan Balkind UC Santa Barba...",https://doi.org/10.1145/3779212.3790199,asplos2026.volume2.3779212.pdf
Volume 2,1429,10.1145/3779212.3790200,PAT: Accelerating LLM Decoding via P refix-Aware Attention with Resource Efficient Multi-Tile Kernel Jinjun Yi†,LLM/生成式 AI 推理与服务系统,"LLM serving is increasingly dominated by decode attention, which is a memory-bound operation due to massive KV cache loading from global memory.",https://doi.org/10.1145/3779212.3790200,asplos2026.volume2.3779212.pdf
Volume 2,1525,10.1145/3779212.3790206,QoServe: Breaking the Silos of LLM Inference Serving,LLM/生成式 AI 推理与服务系统,The widespread adoption of Large Language Models (LLMs) has enabled diverse applications with very different latency requirements.,https://doi.org/10.1145/3779212.3790206,asplos2026.volume2.3779212.pdf
Volume 2,1655,10.1145/3779212.3790212,REPA: Reconfigurable PIM for the Joint A cceleration of KV Cache Offloading and Processing Yang Hong,LLM/生成式 AI 推理与服务系统,The use of KV cache in LLM inference leads to large memory footprint and sub-optimal decoding performance.,https://doi.org/10.1145/3779212.3790212,asplos2026.volume2.3779212.pdf
Volume 2,1782,10.1145/3779212.3790219,"Shift Parallelism: Low-Latency, High-Throughput LLM Inference for Dynamic Workloads",LLM/生成式 AI 推理与服务系统,"Efficient parallelism is necessary for achieving low-latency, high-throughput inference with large language models (LLMs).",https://doi.org/10.1145/3779212.3790219,asplos2026.volume2.3779212.pdf
Volume 2,1848,10.1145/3779212.3790223,SNIP: An Adaptive Mixed Precision Framework for Subbyte Large Language Model Training,LLM/生成式 AI 推理与服务系统,"Training large language models (LLMs) efficiently while preserving model quality poses significant challenges, particularly with subbyte precision supported by state-of-the-art GPUs.",https://doi.org/10.1145/3779212.3790223,asplos2026.volume2.3779212.pdf
Volume 2,1865,10.1145/3779212.3790224,SpeContext: Enabling Efficient Long-context Reasoning with Speculative Context Sparsity in LLMs,LLM/生成式 AI 推理与服务系统,"As test-time scaling in large language model(LLM) reasoning has been proven effective in enhancing the model performance through step-by-step generation, this long-context generation incurs substantial Key-V...",https://doi.org/10.1145/3779212.3790224,asplos2026.volume2.3779212.pdf
Volume 2,1896,10.1145/3779212.3790226,STARC: Selective Token Access with Remapping and Clustering for Efficient LLM Decoding on PIM Systems,LLM/生成式 AI 推理与服务系统,Serving large language models (LLMs) places significant pressure on memory systems due to frequent accesses and growing key–value (KV) caches as context lengths increase.,https://doi.org/10.1145/3779212.3790226,asplos2026.volume2.3779212.pdf
Volume 2,1945,10.1145/3779212.3790229,Streaming Tensor Program: A streaming abstraction for dynamic parallelism,LLM/生成式 AI 推理与服务系统,"Dynamic behaviors are becoming prevalent in tensor applications, like machine learning, where many widely used models contain data-dependent tensor shapes and control flow.",https://doi.org/10.1145/3779212.3790229,asplos2026.volume2.3779212.pdf
Volume 2,1966,10.1145/3779212.3790231,Taming the Long-Tail: Efficient Reasoning RL Training with Adaptive Drafter,LLM/生成式 AI 推理与服务系统,"The emergence of Large Language Models (LLMs) with strong reasoning capabilities marks a significant milestone, unlocking new frontiers in complex problem-solving.",https://doi.org/10.1145/3779212.3790231,asplos2026.volume2.3779212.pdf
Volume 2,2015,10.1145/3779212.3790233,TetriServe: Efficiently Serving Mixed DiT Workloads,LLM/生成式 AI 推理与服务系统,"Diffusion Transformer (DiT) models excel at generating highquality images through iterative denoising steps, but serving them under strict Service Level Objectives (SLOs) is challenging due to their high com...",https://doi.org/10.1145/3779212.3790233,asplos2026.volume2.3779212.pdf
Volume 2,2063,10.1145/3779212.3790236,Towards High-Goodput LLM Serving with Prefill-decode Multiplexing,LLM/生成式 AI 推理与服务系统,Large Language Model (LLM) serving must meet stringent Service Level Objectives (SLOs) for both the prefill and decode phases.,https://doi.org/10.1145/3779212.3790236,asplos2026.volume2.3779212.pdf
Volume 2,2081,10.1145/3779212.3790237,TPLA: Tensor Parallel Latent Attention for Efficient Disaggregated Prefill & Decode Inference,LLM/生成式 AI 推理与服务系统,"Multi-Head Latent Attention (MLA), introduced in DeepSeekV2, compresses key–value states into a low-rank latent vector cKV, caching only this vector to reduce memory.",https://doi.org/10.1145/3779212.3790237,asplos2026.volume2.3779212.pdf
Volume 2,2112,10.1145/3779212.3790240,Trinity: Three-Dimensional Tensor Program Optimization via Tile-level Equality Saturation,LLM/生成式 AI 推理与服务系统,"Modern tensor program optimizers operate at two separate levels: graph-level optimizations (operator fusion, algebraic rewrites) and operator-level scheduling (tiling, parallelization).",https://doi.org/10.1145/3779212.3790240,asplos2026.volume2.3779212.pdf
Volume 2,2230,10.1145/3779212.3790246,SwiftSpec: Disaggregated Speculative Decoding and Fused Kernels for Low-Latency LLM Inference,LLM/生成式 AI 推理与服务系统,"Low-latency, single-request decoding of large language models is critical for interactive systems with tight SLA demands.",https://doi.org/10.1145/3779212.3790246,asplos2026.volume2.3779212.pdf
Volume 2,2245,10.1145/3779212.3790247,W ave: Leveraging Architecture Observation for Privacy-Preserving Model Oversight Haoxuan Xu*,LLM/生成式 AI 推理与服务系统,"Large Language Models (LLMs) inference increasingly require mechanisms that provide runtime visibility into what is actually executing, without exposing model weights or code.",https://doi.org/10.1145/3779212.3790247,asplos2026.volume2.3779212.pdf
Volume 2,2297,10.1145/3779212.3790250,ZipServ: Fast and Memory-Efficient LLM Inference with Hardware-Aware Lossless Compression,LLM/生成式 AI 推理与服务系统,Lossless model compression holds tremendous promise for alleviating the memory and bandwidth bottlenecks in bitexact Large Language Model (LLM) serving.,https://doi.org/10.1145/3779212.3790250,asplos2026.volume2.3779212.pdf
Volume 2,712,10.1145/3779212.3790158,Enabling fast networking in the public cloud,云、Serverless、网络与数据中心系统,"Despite a decade of research, most high-performance userspace network stacks remain impractical for public cloud tenants developing their applications atop Virtual Machines (VMs).",https://doi.org/10.1145/3779212.3790158,asplos2026.volume2.3779212.pdf
Volume 2,871,10.1145/3779212.3790168,gShare: Efficient GPU Sharing with Aggressive Scheduling in Multi-tenant FaaS platform,云、Serverless、网络与数据中心系统,Serving ML models with serverless computing has become increasingly popular in recent years.,https://doi.org/10.1145/3779212.3790168,asplos2026.volume2.3779212.pdf
Volume 2,1760,10.1145/3779212.3790218,SG-IOV: Socket-Granular I/O Virtualization for SmartNIC-Based Container Networks,云、Serverless、网络与数据中心系统,"I/O Virtualization (IOV) is a cornerstone of cloud computing, with container networking as a critical form of IOV in modern cloud paradigms.",https://doi.org/10.1145/3779212.3790218,asplos2026.volume2.3779212.pdf
Volume 2,1881,10.1145/3779212.3790225,SpecProto: A Parallelizing Compiler for Speculative Decoding of Large Protocol Buffers Data,云、Serverless、网络与数据中心系统,"Protobuf is a widely used data serialization format, especially in cloud environments.",https://doi.org/10.1145/3779212.3790225,asplos2026.volume2.3779212.pdf
Volume 2,1122,10.1145/3779212.3790182,Lifetime-Aware Design for Item-Level Intelligence at the Extreme Edge,其他系统与架构方向,"We present FlexiFlow, a lifetime-aware design framework for item-level intelligence (ILI) where computation is integrated directly into disposable products like food packaging and medical patches.",https://doi.org/10.1145/3779212.3790182,asplos2026.volume2.3779212.pdf
Volume 1,65,10.1145/3760250.3762234,CHERI-SIMT: Implementing Capability Memory Protection in GPUs Matthew Naylor,内存体系、CXL、存储与缓存,Governments are increasingly advising software manufacturers to employ memory-safe languages and technologies to combat adversarial attacks on modern computing infrastructure.,https://doi.org/10.1145/3760250.3762234,asplos2026.volume1.3760250.pdf
Volume 1,313,10.1145/3760250.3762224,TiNA: Tiered Network Buffer Architecture for Fast Networking in Chiplet-based CPU,内存体系、CXL、存储与缓存,"To manufacture a large CPU cost-effectively, the industry has begun exploiting emerging packaging technologies that integrate multiple chiplets—each comprising a subset of cores and/or memory and I/O subsyst...",https://doi.org/10.1145/3760250.3762224,asplos2026.volume1.3760250.pdf
Volume 2,74,10.1145/3779212.3790121,A Programming Model for Disaggregated Memory over CXL,内存体系、CXL、存储与缓存,CXL (Compute Express Link) is an emerging open industrystandard interconnect between processing and memory devices that is expected to revolutionize the way systems are designed.,https://doi.org/10.1145/3779212.3790121,asplos2026.volume2.3779212.pdf
Volume 2,224,10.1145/3779212.3790129,Arm Weak Memory Consistency on Apple Silicon: What Is It Good For?,内存体系、CXL、存储与缓存,Weak memory models such as the Arm model are perceived as enabling higher performance than strong models such as TSO.,https://doi.org/10.1145/3779212.3790129,asplos2026.volume2.3779212.pdf
Volume 2,356,10.1145/3779212.3790137,CEMU: Enabling Full-System Emulation of Computational Storage beyond Hardware Limits,内存体系、CXL、存储与缓存,Computational storage drives (CSDs) present a promising approach to improve system performance through near data processing in SSDs.,https://doi.org/10.1145/3779212.3790137,asplos2026.volume2.3779212.pdf
Volume 2,442,10.1145/3779212.3790142,CoGraf: Fully Accelerating Graph Applications with Fine-Grained PIM,内存体系、CXL、存储与缓存,Processing-in-Memory (PIM) delivers enormous performance by taking advantage of internal DRAM bandwidth and parallelism.,https://doi.org/10.1145/3779212.3790142,asplos2026.volume2.3779212.pdf
Volume 2,492,10.1145/3779212.3790145,CounterPoint: Using Hardware Event Counters to Refute and Refine Microarchitectural Assumptions,内存体系、CXL、存储与缓存,Hardware event counters offer the potential to reveal not only performance bottlenecks but also detailed microarchitectural behavior.,https://doi.org/10.1145/3779212.3790145,asplos2026.volume2.3779212.pdf
Volume 2,509,10.1145/3779212.3790146,CPU-Oblivious Offloading of Failure-Atomic Transactions for Disaggregated Memory,内存体系、CXL、存储与缓存,"Memory disaggregation introduces new challenges for application reliability, as compute server or interconnection failures can interrupt execution and lead to data inconsistency in the memory server.",https://doi.org/10.1145/3779212.3790146,asplos2026.volume2.3779212.pdf
Volume 2,544,10.1145/3779212.3790148,CREST: High-Performance Contention Resolution for Disaggregated Transactions,内存体系、CXL、存储与缓存,"Distributed transaction systems can leverage memory disaggregation for efficient resource scaling, yet they experience significant performance degradation under high-contention workloads.",https://doi.org/10.1145/3779212.3790148,asplos2026.volume2.3779212.pdf
Volume 2,561,10.1145/3779212.3790149,Cxlalloc: Safe and Efficient Memory Allocation for a CXL Pod,内存体系、CXL、存储与缓存,A Compute Express Link (CXL) pod is a group of hosts that share CXL-attached memory.,https://doi.org/10.1145/3779212.3790149,asplos2026.volume2.3779212.pdf
Volume 2,579,10.1145/3779212.3790150,CXLMC: Model Checking CXL Shared Memory Programs,内存体系、CXL、存储与缓存,Compute Express Link (CXL) shared memory is an emerging industry standard that will allow for cache coherent sharing of remote memory between many machines.,https://doi.org/10.1145/3779212.3790150,asplos2026.volume2.3779212.pdf
Volume 2,680,10.1145/3779212.3790156,Efficient Remote Memory Ordering for Non-Coherent Interconnects Wei Siew Liew∗,内存体系、CXL、存储与缓存,"Software using non-coherent interconnects like PCI Express requires fine-grained memory ordering, but current hardware mandates the use of costly source-side serialization.",https://doi.org/10.1145/3779212.3790156,asplos2026.volume2.3779212.pdf
Volume 2,979,10.1145/3779212.3790173,Hitchhike: Efficient Request Submission via Deferred Enforcement of Address Contiguity,内存体系、CXL、存储与缓存,"Modern storage systems operate under high concurrency, making large volumes of outstanding I/Os the norm.",https://doi.org/10.1145/3779212.3790173,asplos2026.volume2.3779212.pdf
Volume 2,1011,10.1145/3779212.3790175,ICARUS: Criticality and Reuse based Instruction Caching for Datacenter Applications,内存体系、CXL、存储与缓存,Datacenter applications with huge code footprints suffer from front-end CPU bottlenecks even with a decoupled frontend.,https://doi.org/10.1145/3779212.3790175,asplos2026.volume2.3779212.pdf
Volume 2,1284,10.1145/3779212.3790191,Nemo: A Low-Write-Amplification Cache for Tiny Objects on Log-Structured Flash Devices,内存体系、CXL、存储与缓存,Modern storage systems predominantly use flash-based SSDs as a cache layer due to their favorable performance and cost efficiency.,https://doi.org/10.1145/3779212.3790191,asplos2026.volume2.3779212.pdf
Volume 2,1301,10.1145/3779212.3790192,Neo: Real-Time On-Device 3D Gaussian Splatting with Reuse-and-Update Sorting Acceleration,内存体系、CXL、存储与缓存,"While 3D Gaussian Splatting (3DGS) has emerged as a promising technique for immersive AR/VR experiences, its practical adoption critically depends on whether real-time rendering can be achieved on resource-c...",https://doi.org/10.1145/3779212.3790192,asplos2026.volume2.3779212.pdf
